bairro,microrregiao
Recife,1
Ilha Joana Bezerra,1
Soledade,1
Sao Jose,1
Santo Antonio,1
Coelhos,1
Ilha do Leite,1
Cabanga,1
Boa Vista,1
Santo Amaro,1
Paissandu,1
Bomba do Hemeterio,2
Linha do Tiro,2
Dois Unidos,2
Beberibe,2
Porto da Madeira,2
Fundao,2
Cajueiro,2
Agua Fria,2
Alto Santa Teresinha,2
Rosarinho,2
Ponto de Parada,2
Peixinhos,2
Hipodromo,2
Encruzilhada,2
Campo Grande,2
Campina do Barreto,2
Arruda,2
Torreao,2
Alto Jose Bonifacio,3
Mangabeira,3
Morro da Conceicao,3
Vasco da Gama,3
Brejo da Guabiraba,3
Brejo de Beberibe,3
Nova Descoberta,3
Guabiraba,3
Macaxeira,3
Passarinho,3
Pau-Ferro,3
Tamarineira,3
Corrego do Jenipapo,3
Sitio dos Pintos,3
Alto Jose do Pinho,3
Poco,3
Santana,3
Aflitos,3
Alto do Mandu,3
Apipucos,3
Casa Amarela,3
Derby,3
Casa Forte,3
Espinheiro,3
Gracas,3
Jaqueira,3
Monteiro,3
Parnamirim,3
Dois Irmaos,3
Engenho do Meio,4
Varzea,4
Caxanga,4
Torroes,4
Zumbi,4
Cidade Universitaria,4
Prado,4
Madalena,4
Iputinga,4
Ilha do Retiro,4
Cordeiro,4
Torre,4
Toto,5
Tejipio,5
Sancho,5
Jardim Sao Paulo,5
Curado,5
Coqueiral,5
Barro,5
Jiquia,5
Cacote,5
Areias,5
San Martin,5
Mustardinha,5
Mangueira,5
Bongi,5
Afogados,5
Estancia,5
Jordao,6
Boa Viagem,6
Brasilia Teimosa,6
Imbiribeira,6
Ipsep,6
Pina,6
Ibura,6
Cohab,6
